Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.999626363183
FDW14,OUT017,1579.6253027776602
NCN55,OUT010,1888.4466009137755
FDQ58,OUT017,2609.3137272366293
FDY38,OUT027,5179.228541181563
FDH56,OUT046,1915.703471595934
FDL48,OUT018,596.7354505402238
FDC48,OUT027,2777.828943913417
FDN33,OUT045,1510.3662875297166
FDA36,OUT017,3079.223224562995
FDT44,OUT017,1997.2632212322846
FDQ56,OUT045,1306.6609009702424
NCC54,OUT019,1849.418380433289
FDU11,OUT049,2045.704356267926
DRL59,OUT013,888.7774636643608
FDM24,OUT049,2558.807389498716
FDI57,OUT045,3088.6609293877627
DRC12,OUT018,2764.927186983654
NCM42,OUT027,3192.4117716776614
FDA46,OUT010,1133.6542605248806
FDA31,OUT013,2798.812541809143
NCJ31,OUT035,3878.410998597324
FDG52,OUT046,803.8870760581833
NCL19,OUT019,376.0172497194583
FDS10,OUT035,3027.5662677338096
FDX22,OUT010,1448.8065604230896
NCF19,OUT035,915.0755485850136
NCE06,OUT046,2527.742930338447
DRC27,OUT046,3843.2279701737375
FDE21,OUT035,2025.2862599915088
NCR42,OUT019,-1357.7069058385532
FDX51,OUT018,2863.2151448363966
NCR06,OUT018,429.35093945817266
FDU31,OUT027,4940.2167618764615
FDU59,OUT017,2712.2801757998022
FDR03,OUT027,4767.6866651853925
FDS49,OUT027,2760.7259864725193
FDD48,OUT010,-73.36090656100987
NCF18,OUT017,3110.833640587484
NCD43,OUT027,3099.6340365174287
NCD54,OUT018,1989.856349520967
FDY19,OUT010,-36.06339587892717
NCY54,OUT017,2810.908057154352
NCL19,OUT018,2023.20936778629
FDP23,OUT010,1533.616604358518
FDC26,OUT013,1817.9674511371986
FDR14,OUT010,-1040.0940098916333
NCS41,OUT035,3035.720702435647
FDF41,OUT035,4041.784747578604
FDU34,OUT046,2002.5747895507766
DRH11,OUT046,919.7377052008724
FDM03,OUT013,1764.0522299698152
FDS31,OUT017,3048.941452099113
FDJ20,OUT017,2092.031999355581
FDV44,OUT027,4494.507284749441
FDG02,OUT049,3102.747648811826
FDA09,OUT013,2910.723655975797
FDT04,OUT013,690.7840585876095
FDL58,OUT019,2294.2661794057176
FDE52,OUT045,1455.7573488698501
FDW12,OUT035,2503.711093888979
FDL51,OUT017,3549.1249498970146
NCY42,OUT027,3687.3393298154615
FDR07,OUT017,1658.6860659530844
FDN40,OUT045,2374.408535265019
FDB35,OUT027,2949.7656335164434
FDA22,OUT017,2742.2405489305847
NCL06,OUT046,4110.960229322832
FDI35,OUT013,2917.449486934727
NCW42,OUT045,3411.8113769746433
NCX06,OUT049,2934.6577965673464
FDC37,OUT027,3192.972882959281
FDZ14,OUT018,1727.6782435077214
DRG49,OUT049,3947.4228777248572
NCG06,OUT045,3959.977523651073
DRC36,OUT045,2721.482650717267
FDV21,OUT019,61.84345548916485
FDB53,OUT046,2359.187118921326
DRP47,OUT019,2042.0399937840302
FDA14,OUT013,2352.954270401313
DRC24,OUT035,2568.0142576781027
FDW21,OUT018,1414.230735696998
NCH29,OUT046,1556.3664567155188
FDU58,OUT013,3079.4614083115603
FDY27,OUT017,2946.138328911925
FDV56,OUT035,1948.6696161737163
FDT59,OUT046,3656.4986980289605
FDB23,OUT046,3621.786301970974
