Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1645.9855293953322
FDW14,OUT017,1363.8211576263823
NCN55,OUT010,573.3220603411297
FDQ58,OUT017,2476.10111966874
FDY38,OUT027,5853.3042393239175
FDH56,OUT046,1942.9123996575252
FDL48,OUT018,765.3881575081368
FDC48,OUT027,2172.4811144433265
FDN33,OUT045,1521.0792525411193
FDA36,OUT017,3103.406055686962
FDT44,OUT017,1925.9099057710227
FDQ56,OUT045,1360.8776155370088
NCC54,OUT019,573.7175874676842
FDU11,OUT049,2024.9083810926668
DRL59,OUT013,863.3802438351821
FDM24,OUT049,2465.5355435255638
FDI57,OUT045,3024.1186648501935
DRC12,OUT018,2953.0792189656263
NCM42,OUT027,2915.898438806743
FDA46,OUT010,509.38924624088924
FDA31,OUT013,2847.5326278760617
NCJ31,OUT035,3851.9535835180473
FDG52,OUT046,783.4020233063046
NCL19,OUT019,288.2902101184612
FDS10,OUT035,2980.391215344929
FDX22,OUT010,568.6083772454167
NCF19,OUT035,757.0009381777286
NCE06,OUT046,2560.371270814792
DRC27,OUT046,3903.3906855087116
FDE21,OUT035,1952.6920766007158
NCR42,OUT019,130.5484683642907
FDX51,OUT018,2998.6458716557563
NCR06,OUT018,617.7246906841187
FDU31,OUT027,5855.803603603336
FDU59,OUT017,2555.064813024684
FDR03,OUT027,5855.803603603336
FDS49,OUT027,2068.979977872709
FDD48,OUT010,268.17492197511365
NCF18,OUT017,3005.6901092679977
NCD43,OUT027,2865.696281075984
NCD54,OUT018,2115.047832240993
FDY19,OUT010,268.8757236065244
NCY54,OUT017,2858.136087981291
NCL19,OUT018,2435.7051928391697
FDP23,OUT010,569.1923287838944
FDC26,OUT013,1735.9806542441756
FDR14,OUT010,130.5484683642907
NCS41,OUT035,3116.100790316144
FDF41,OUT035,3876.041524675873
FDU34,OUT046,2049.153089552836
DRH11,OUT046,967.0680487232747
FDM03,OUT013,1649.486442498815
FDS31,OUT017,3052.5259106290246
FDJ20,OUT017,1992.097472105424
FDV44,OUT027,5127.0966451341155
FDG02,OUT049,3111.874357579897
FDA09,OUT013,3004.259769776636
FDT04,OUT013,703.9769415692352
FDL58,OUT019,572.1516641661531
FDE52,OUT045,1378.6400018210063
FDW12,OUT035,2493.035047970511
FDL51,OUT017,3706.572554770001
NCY42,OUT027,3015.507653685613
FDR07,OUT017,1535.7521744137537
FDN40,OUT045,2474.1877283746735
FDB35,OUT027,2688.0097877246803
FDA22,OUT017,2552.3036873136502
NCL06,OUT046,4130.359643587411
FDI35,OUT013,3060.4349562311
NCW42,OUT045,3758.0973816461424
NCX06,OUT049,2986.790459197051
FDC37,OUT027,2891.960856657692
FDZ14,OUT018,1952.3637175196573
DRG49,OUT049,3880.850729470618
NCG06,OUT045,4101.564992730612
DRC36,OUT045,2857.5985094847056
FDV21,OUT019,280.54830881138497
FDB53,OUT046,2508.751003809546
DRP47,OUT019,571.0190697194809
FDA14,OUT013,2458.8229176902355
DRC24,OUT035,2540.9109684874143
FDW21,OUT018,1619.5867809574447
NCH29,OUT046,1541.1435912027127
FDU58,OUT013,3098.2083935497217
FDY27,OUT017,2892.548599444329
FDV56,OUT035,1661.8446137296767
FDT59,OUT046,3833.686789539515
FDB23,OUT046,3767.3378012811318
FDR49,OUT045,756.9108512281447
FDB03,OUT010,573.9190400757025
FDN39,OUT045,2626.7175812415876
FDX02,OUT027,5854.494646092807
FDQ16,OUT027,2890.5634195911657
FDU35,OUT018,1544.16892720568
NCT29,OUT013,2006.4840801598261
FDZ27,OUT046,783.7759036775047
FDN57,OUT017,2033.8163619237214
FDA03,OUT018,2431.067436009014
FDZ36,OUT045,3120.6788214027274
NCU05,OUT013,1404.9318055915699
FDT39,OUT018,2391.105356934936
FDK60,OUT017,1536.2759229322162
FDZ25,OUT017,2785.1971226036108
FDG12,OUT046,2078.1036264559593
DRB01,OUT019,504.4561539201328
NCC43,OUT027,5853.3042393239175
FDX13,OUT019,569.1763614518851
FDM22,OUT049,871.2305179965389
FDJ03,OUT027,1079.5002377406743
FDU14,OUT018,3800.9094354247854
FDB33,OUT010,379.2292278166964
FDP27,OUT046,3112.903296343561
FDO38,OUT010,159.6622931735835
FDE28,OUT027,5853.3042393239175
FDO27,OUT035,1519.9612272491413
DRL23,OUT027,2885.715034902834
FDS28,OUT046,967.2123175839859
FDX24,OUT013,1466.46339582741
FDZ02,OUT035,1535.1822679072443
FDL46,OUT045,1913.2687871288722
FDS60,OUT027,4784.6856297989
NCO06,OUT017,593.781619206131
FDO16,OUT035,1356.2676711196184
FDC60,OUT049,1363.7063030945524
FDA48,OUT018,3430.221243016234
FDZ36,OUT027,5115.317802412582
FDK27,OUT045,2031.817408894185
FDW23,OUT018,606.0623309016777
FDM14,OUT018,1687.1768406441072
FDM14,OUT013,1651.959466752005
FDW60,OUT018,2838.2343986959713
FDE21,OUT013,1963.6069730871523
NCM42,OUT035,1661.8143117181996
FDY59,OUT010,229.45971059955548
DRI49,OUT049,1308.8667411560882
FDT28,OUT019,364.99809655561677
FDQ22,OUT018,608.7702964097168
FDR60,OUT049,1273.778134456388
FDC50,OUT019,237.05150947399434
FDV24,OUT013,2413.0447054047495
DRF48,OUT010,492.88860357218823
FDQ47,OUT046,633.6748664686131
DRN36,OUT049,1532.0953648678553
NCY06,OUT035,2016.8918458422634
FDE52,OUT035,1376.9358264531593
NCB54,OUT045,2013.4625371973277
NCF31,OUT035,2505.5337945148094
FDJ08,OUT027,5141.926671129467
NCC07,OUT017,1651.7177695317212
NCD19,OUT027,1266.4444757643687
FDL46,OUT049,1974.4641978206996
FDM20,OUT045,4013.9064923265746
NCI06,OUT010,451.15269923310376
DRM11,OUT035,4205.585271913544
NCH07,OUT018,2490.845477490048
FDS23,OUT013,2033.9216311099065
FDO49,OUT018,763.7296274504317
FDS35,OUT049,1057.3108738587257
DRK39,OUT045,1337.2135455285481
DRI39,OUT049,905.2536158872864
FDV04,OUT017,2528.889771806054
NCN14,OUT035,3046.745303054248
FDH08,OUT013,3742.9907934678326
FDS20,OUT046,3150.046528907213
FDV40,OUT049,1155.342285972135
FDZ48,OUT010,259.5932693987025
FDS24,OUT027,2581.5907600795563
FDK44,OUT049,2854.547053306754
FDS48,OUT045,2527.2419962899853
FDK26,OUT010,495.461934619489
FDD23,OUT045,3101.0126741833806
NCH54,OUT017,2599.392229907409
NCP14,OUT010,241.0459325236349
FDM60,OUT010,130.5484683642907
FDV24,OUT017,2457.975300723161
FDH08,OUT018,3536.9746163399964
FDS12,OUT027,2981.109515281363
FDR39,OUT027,4843.0433713032335
FDP12,OUT027,998.4392688415807
DRF60,OUT027,5855.803603603336
FDC09,OUT035,1650.7828802437255
FDF50,OUT018,3018.127578719108
FDG28,OUT035,4006.1154294147914
NCE19,OUT017,875.3928326794666
NCM53,OUT010,249.37844089117684
NCN18,OUT049,1721.7433460779732
FDF32,OUT035,3097.012043973146
FDF11,OUT013,3931.9465841007814
DRI59,OUT049,3783.585549156391
NCG54,OUT035,2795.071733663049
FDM44,OUT046,1642.9337690781235
FDT57,OUT018,3611.9363794874557
FDV24,OUT046,2459.0593721143778
FDI50,OUT019,571.7205722492131
FDS09,OUT035,769.086675960351
NCC31,OUT027,4094.984086883788
FDQ07,OUT019,573.563280516809
FDC22,OUT017,3120.446446764228
FDZ56,OUT046,2775.9532474478774
FDZ40,OUT019,130.5484683642907
FDS46,OUT027,2931.461149308662
DRD24,OUT045,2065.2553333705373
FDV45,OUT017,3067.106451871673
FDL26,OUT045,2535.2869067914407
FDA56,OUT018,1990.6840010330975
FDN27,OUT046,1969.3182074605356
FDM20,OUT049,3966.75214701453
FDO16,OUT017,1336.370165666036
FDL03,OUT035,2999.7445024920557
FDE58,OUT046,1957.5790200695042
FDI02,OUT027,2928.201110522913
NCC55,OUT019,130.5484683642907
FDR03,OUT018,3241.087473068252
FDB14,OUT017,1447.4853161720948
FDR45,OUT013,3939.5918154194555
NCN07,OUT017,2039.6480149543172
FDM51,OUT019,248.8726992690947
FDT52,OUT027,5855.803603603336
FDL26,OUT046,2515.3779656243278
NCZ42,OUT046,3935.9664842520356
DRI47,OUT019,366.5860349038201
FDW40,OUT013,2076.0502823360553
FDN34,OUT046,2777.947354441767
FDS01,OUT035,2943.6252576241336
NCG55,OUT045,1927.1284770427471
FDC11,OUT035,1359.1608211518287
FDX35,OUT018,3481.373575583502
NCB06,OUT046,2591.1131772715207
FDR09,OUT019,571.173376670356
FDC53,OUT017,1534.5415405924296
FDY45,OUT013,4115.642481254049
FDA22,OUT010,383.1396886288761
FDE02,OUT035,1517.5267602485524
FDW21,OUT045,1638.870600538849
FDV34,OUT046,1181.5942878607775
FDS59,OUT049,1656.9158078485668
NCW17,OUT017,2060.1834912025893
NCK54,OUT046,1967.1708669479024
FDG17,OUT019,571.7205722492131
FDG35,OUT017,2860.6653600598584
FDD08,OUT010,130.5484683642907
NCO07,OUT017,3694.220991284235
FDJ10,OUT010,279.69691159298515
FDW36,OUT017,1649.1988082140795
FDW21,OUT010,239.42913650471695
FDY19,OUT017,1925.29490414759
DRE03,OUT013,818.9012369398264
NCC55,OUT049,634.7587077279883
FDH52,OUT010,134.86602326228174
FDO09,OUT017,4065.2188452614846
FDU43,OUT045,3960.5300331157364
FDX09,OUT010,421.46111544793854
FDH40,OUT019,200.40537226061028
FDW58,OUT017,1648.6952569482673
FDC47,OUT017,3747.520281829587
NCR41,OUT035,1499.4348753731065
DRG49,OUT035,3932.4446903564744
FDC52,OUT027,4080.140825293986
FDY13,OUT046,1189.7990309506197
FDY35,OUT013,720.2690268827927
FDI35,OUT017,3114.8202122520547
NCU18,OUT049,2102.723808573484
FDY33,OUT018,2499.440309540862
FDC15,OUT027,4180.961142592948
FDU01,OUT049,3057.9397048298406
NCU42,OUT046,2793.04538845457
NCV29,OUT018,2832.2827974020624
NCY30,OUT017,3022.1067591479123
