Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1832.7703441385752
FDW14,OUT017,1551.3013866105337
NCN55,OUT010,1894.938146910325
FDQ58,OUT017,2567.904797548698
FDY38,OUT027,5162.379442743286
FDH56,OUT046,1932.7710131712772
FDL48,OUT018,615.6904354237133
FDC48,OUT027,2769.896350813249
FDN33,OUT045,1525.5270078014887
FDA36,OUT017,3062.384449014454
FDT44,OUT017,1988.354572930831
FDQ56,OUT045,1332.8380562435318
NCC54,OUT019,1870.7299070235745
FDU11,OUT049,2045.2470274745924
DRL59,OUT013,899.3021136433139
FDM24,OUT049,2535.728237501053
FDI57,OUT045,3094.97970763331
DRC12,OUT018,2773.15498499595
NCM42,OUT027,3193.0178506039497
FDA46,OUT010,1156.939016550185
FDA31,OUT013,2805.2935874170735
NCJ31,OUT035,3882.675237971623
FDG52,OUT046,823.276108355023
NCL19,OUT019,371.317091544312
FDS10,OUT035,3004.253763705288
FDX22,OUT010,1456.7569420118375
NCF19,OUT035,924.7677290394082
NCE06,OUT046,2560.799505454609
DRC27,OUT046,3859.3400879705096
FDE21,OUT035,2012.2372274067857
NCR42,OUT019,-1340.840639570551
FDX51,OUT018,2865.959021687761
NCR06,OUT018,453.3368526497504
FDU31,OUT027,4919.575250445623
FDU59,OUT017,2699.9473393118496
FDR03,OUT027,4725.819772261799
FDS49,OUT027,2750.839823512583
FDD48,OUT010,-57.6157550971204
NCF18,OUT017,3114.2697505734272
NCD43,OUT027,3097.1750228266997
NCD54,OUT018,2013.5003016403227
FDY19,OUT010,-19.37986615869383
NCY54,OUT017,2820.664167288583
NCL19,OUT018,2037.9916473512014
FDP23,OUT010,1538.8361357651943
FDC26,OUT013,1830.6241595139443
FDR14,OUT010,-990.0743839304182
NCS41,OUT035,3022.500243882361
FDF41,OUT035,4035.2982798019325
FDU34,OUT046,2016.617999244989
DRH11,OUT046,952.4805626477869
FDM03,OUT013,1745.9980445150893
FDS31,OUT017,3001.2864788509733
FDJ20,OUT017,2085.2513709792283
FDV44,OUT027,4468.182794921011
