Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000005
FDW14,OUT017,1435.9121343749994
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2649.110232432434
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.1493817142846
FDL48,OUT018,713.8586545454551
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1879.2570116129025
FDA36,OUT017,2752.9709346534664
FDT44,OUT017,1922.1493817142846
FDQ56,OUT045,1435.9121343749994
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.8586545454551
FDM24,OUT049,2286.413267368423
FDI57,OUT045,3130.004904950495
DRC12,OUT018,2893.8398258992797
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.2957751824824
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2503.501336448599
DRC27,OUT046,3643.5197259842507
FDE21,OUT035,1922.1493817142846
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.8398258992797
NCR06,OUT018,507.04640366972455
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.501336448599
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1649.2997860000005
FDR14,OUT010,165.91858165137606
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.2957751824824
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.0323883040932
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.9709346534664
FDA09,OUT013,3259.56208490566
FDT04,OUT013,507.04640366972455
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1435.9121343749994
FDW12,OUT035,2286.413267368423
FDL51,OUT017,3643.5197259842507
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1573.0706258064517
FDN40,OUT045,2286.413267368423
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.413267368423
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549283
NCG06,OUT045,4034.300306896551
DRC36,OUT045,3259.56208490566
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.0998777777777
DRP47,OUT019,584.7577647727273
FDA14,OUT013,3053.0998777777777
DRC24,OUT035,2644.4778427083343
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1682.2122382352939
FDU58,OUT013,2893.8398258992797
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1682.2122382352939
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.2510486486474
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.1080642424226
NCU05,OUT013,1284.7897668711655
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.0998777777777
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229506
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539677
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.952582926831
FDB33,OUT010,346.89728372093043
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137606
FDE28,OUT027,6280.89088
FDO27,OUT035,1879.2570116129025
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040932
FDX24,OUT013,1435.9121343749994
FDZ02,OUT035,1682.2122382352939
FDL46,OUT045,1827.832845454545
