Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1708.8474512621385
FDW14,OUT017,1277.6440901960793
NCN55,OUT010,672.8019966666668
FDQ58,OUT017,2381.1152733893537
FDY38,OUT027,6318.503775257731
FDH56,OUT046,1922.149381714285
FDL48,OUT018,663.4091727272729
FDC48,OUT027,2278.1195568627454
FDN33,OUT045,1708.8474512621385
FDA36,OUT017,2713.1569494505493
FDT44,OUT017,1922.149381714285
FDQ56,OUT045,1550.5662553846148
NCC54,OUT019,672.8019966666668
FDU11,OUT049,2154.952615195072
DRL59,OUT013,765.9678578947367
FDM24,OUT049,2381.1152733893537
FDI57,OUT045,3076.075090712743
DRC12,OUT018,3076.075090712743
NCM42,OUT027,3044.0779515151517
FDA46,OUT010,428.5447307692308
FDA31,OUT013,2791.0116160377356
NCJ31,OUT035,3706.4460662983406
FDG52,OUT046,765.9678578947367
NCL19,OUT019,335.7111555555556
FDS10,OUT035,3385.561105389219
FDX22,OUT010,519.5903199999999
NCF19,OUT035,810.6187369565213
NCE06,OUT046,2381.1152733893537
DRC27,OUT046,3643.5197259842525
FDE21,OUT035,1922.149381714285
NCR42,OUT019,89.83445208333332
FDX51,OUT018,3076.075090712743
NCR06,OUT018,399.83953199999996
FDU31,OUT027,5273.4329108108095
FDU59,OUT017,2381.1152733893537
FDR03,OUT027,5809.942989655171
FDS49,OUT027,2278.1195568627454
FDD48,OUT010,243.2441552941177
NCF18,OUT017,3076.075090712743
NCD43,OUT027,2496.586470175438
NCD54,OUT018,1683.5727341463416
FDY19,OUT010,243.2441552941177
NCY54,OUT017,2791.0116160377356
NCL19,OUT018,2002.6864520000006
FDP23,OUT010,519.5903199999999
FDC26,OUT013,1708.8474512621385
FDR14,OUT010,179.43310000000005
NCS41,OUT035,3385.561105389219
FDF41,OUT035,3706.4460662983406
FDU34,OUT046,2154.952615195072
DRH11,OUT046,851.7416346938776
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3385.561105389219
FDJ20,OUT017,2154.952615195072
FDV44,OUT027,5273.4329108108095
FDG02,OUT049,2713.1569494505493
FDA09,OUT013,3328.0164318181846
FDT04,OUT013,666.3033320574154
FDL58,OUT019,519.5903199999999
FDE52,OUT045,1277.6440901960793
FDW12,OUT035,2868.3577843137255
FDL51,OUT017,3643.5197259842525
NCY42,OUT027,3426.1036478873234
FDR07,OUT017,1708.8474512621385
FDN40,OUT045,2381.1152733893537
FDB35,OUT027,2496.586470175438
FDA22,OUT017,2381.1152733893537
NCL06,OUT046,4171.458933333333
FDI35,OUT013,3385.561105389219
NCW42,OUT045,4124.236894170403
NCX06,OUT049,2791.0116160377356
FDC37,OUT027,2753.7020771929824
FDZ14,OUT018,1849.3513344827581
DRG49,OUT049,3706.4460662983406
NCG06,OUT045,4171.458933333333
DRC36,OUT045,2791.0116160377356
FDV21,OUT019,335.7111555555556
FDB53,OUT046,2791.581775333334
DRP47,OUT019,560.2469214285715
FDA14,OUT013,2791.581775333334
DRC24,OUT035,2791.581775333334
FDW21,OUT018,1480.8624962962965
NCH29,OUT046,1708.8474512621385
FDU58,OUT013,3076.075090712743
FDY27,OUT017,2694.563935714286
FDV56,OUT035,1708.8474512621385
FDT59,OUT046,4124.236894170403
FDB23,OUT046,4124.236894170403
FDR49,OUT045,810.6187369565213
FDB03,OUT010,672.8019966666668
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5809.942989655171
FDQ16,OUT027,2753.7020771929824
FDU35,OUT018,1480.8624962962965
NCT29,OUT013,2154.952615195072
FDZ27,OUT046,765.9678578947367
FDN57,OUT017,2154.952615195072
FDA03,OUT018,2002.6864520000006
FDZ36,OUT045,3385.561105389219
NCU05,OUT013,1277.6440901960793
FDT39,OUT018,2002.6864520000006
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,2791.581775333334
FDG12,OUT046,2154.952615195072
DRB01,OUT019,428.5447307692308
NCC43,OUT027,6318.503775257731
FDX13,OUT019,519.5903199999999
FDM22,OUT049,988.851949565217
FDJ03,OUT027,1703.0223195652177
FDU14,OUT018,3635.617272131147
FDB33,OUT010,390.2942169491527
FDP27,OUT046,3076.075090712743
FDO38,OUT010,179.43310000000005
FDE28,OUT027,6318.503775257731
FDO27,OUT035,1708.8474512621385
DRL23,OUT027,2753.7020771929824
FDS28,OUT046,851.7416346938776
FDX24,OUT013,1277.6440901960793
FDZ02,OUT035,1708.8474512621385
FDL46,OUT045,1745.6016378378379
FDS60,OUT027,4848.238105882354
NCO06,OUT017,578.5896439716313
FDO16,OUT035,1550.5662553846148
FDC60,OUT049,1550.5662553846148
FDA48,OUT018,3389.185807547169
FDZ36,OUT027,5273.4329108108095
FDK27,OUT045,1745.6016378378379
FDW23,OUT018,399.83953199999996
FDM14,OUT018,1264.5144851851855
FDM14,OUT013,1708.8474512621385
FDW60,OUT018,3328.0164318181846
FDE21,OUT013,1922.149381714285
NCM42,OUT035,1708.8474512621385
FDY59,OUT010,189.825821875
DRI49,OUT049,1277.6440901960793
FDT28,OUT019,310.31986857142846
FDQ22,OUT018,399.83953199999996
FDR60,OUT049,1277.6440901960793
FDC50,OUT019,248.15902461538457
FDV24,OUT013,2381.1152733893537
DRF48,OUT010,428.5447307692308
FDQ47,OUT046,578.5896439716313
DRN36,OUT049,1708.8474512621385
NCY06,OUT035,2154.952615195072
FDE52,OUT035,1277.6440901960793
