id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"5486226","2011-03-30 12:26:50","4","2415","Rolling median in python","3","4","1","yueerhu","125","Mike Pennington","30862"
"5558607","2011-04-05 21:13:50","2","8008","Sort a pandas DataMatrix in ascending order","2","0","1","Jason Strimpel","4732","Wes McKinney","57658"
"7577546","2011-09-28 01:58:38","9","2742","Using pandas, how do I subsample a large DataFrame by group in an efficient manner?","1","0","5","Uri Laserson","1100","HYRY","67243"
"7766400","2011-10-14 10:33:54","2","1032","Pandas + Django + mod_wsgi + virtualenv","1","2","1","Evan Davey","125","",""
"7776679","2011-10-15 08:21:17","28","30805","append two data frame with pandas","2","7","4","Jean-Pat","944","Wes McKinney","57658"
"7813132","2011-10-18 20:16:12","11","23909","Convert array of string (category) to array of int from a pandas dataframe","4","0","7","Jean-Pat","944","Wes McKinney","57658"
"8270129","2011-11-25 13:55:02","1","912","Pandas Panel for share portfolio","1","0","","Evan Davey","125","Wes McKinney","57658"
"8273092","2011-11-25 18:39:02","1","2407","python: pandas install errors","2","0","","codingknob","3071","codingknob","3071"
"8451327","2011-12-09 20:27:24","1","3236","Python map() function output into Pandas DataFrame","1","0","1","briant57","6","",""
"8842114","2012-01-12 20:52:41","8","4553","How to apply slicing on pandas Series of strings","3","2","1","davidbrai","989","Rob Wouters","11767"
"8914992","2012-01-18 18:00:16","4","1011","indexing several csv files with pandas from records?","1","1","1","user248237dfsf","25952","Wes McKinney","57658"
"8916302","2012-01-18 19:41:27","35","24105","selecting across multiple columns with python pandas?","3","0","16","user248237dfsf","25952","Wes McKinney","57658"
"8966871","2012-01-23 03:21:00","0","308","Running Python/Numpy/Pandas on older secure computer","0","3","","Casey","16","",""
"8991709","2012-01-24 17:59:53","154","18559","Why were pandas merges in python faster than data.table merges in R in 2012?","3","16","65","Zach","14474","Matt Dowle","47860"
"9189425","2012-02-08 07:42:11","2","1778","Pandas DataFrame serialization","1","0","","rezusr","33","Wes McKinney","57658"
"9283166","2012-02-14 19:42:19","3","10438","Plotting a stock chart with Pandas in IPython","2","1","2","Ben McCann","10184","Appleman1234","14060"
"9339184","2012-02-18 06:26:50","2","1299","Python: Pandas, Dataframe, Convert 1column data into 2D data format","2","0","1","notilas","505","jfs","274827"
"9421412","2012-02-23 21:14:19","2","1111","Initializing pandas dataframes with and without index,columns yields different results","1","0","1","benjaminmgross","1147","Wes McKinney","57658"
"9550867","2012-03-03 23:42:13","5","4330","Python Pandas Pivot Table","2","0","4","user1026987","43","BioGeek","12425"
"9555635","2012-03-04 14:25:36","19","6701","Open source Enthought Python alternative","8","5","6","tshauck","8685","ogrisel","29619"
"9556892","2012-03-04 16:58:45","6","6157","Pandas DataFrame - desired index has duplicate values","1","0","3","kavu","57","Wes McKinney","57658"
"9588331","2012-03-06 17:01:47","22","13766","Simple cross-tabulation in pandas","2","3","6","Jon Clements","102680","Jeff Hammerbacher","3388"
"9597681","2012-03-07 07:56:37","5","3924","read_csv converters for unkown columns","1","0","","Jose Blanca","70","Wes McKinney","57658"
"9647656","2012-03-10 15:35:26","3","1139","Pandas dataframe in mixed mode can't serialize to hdf5?","1","0","","David van Coevorden","45","",""
"9695668","2012-03-14 03:50:45","7","4000","How to specify dtype when using pandas.read_csv to load data from csv files?","2","1","4","Deadwood","43","Wes McKinney","57658"
"9721429","2012-03-15 14:08:31","10","9443","How do I read a fix width format text file in pandas","4","2","","user1234440","5711","user1234440","5711"
"9723000","2012-03-15 15:33:47","6","1366","How do I tell pandas to parse a particular column as a datetime object, but not make it an index?","1","0","3","Uri Laserson","1100","Wes McKinney","57658"
"9762935","2012-03-18 22:34:26","11","9270","Add indexed column to DataFrame with pandas","2","0","2","saroele","3208","Wes McKinney","57658"
"9787853","2012-03-20 13:36:09","29","16181","join or merge with overwrite in pandas","2","0","10","saroele","3208","Wes McKinney","57658"
"9788299","2012-03-20 14:00:00","7","10376","How to perform slicing of a data frame using datetimes?","2","0","1","saroele","3208","Wes McKinney","57658"
"9794697","2012-03-20 20:49:24","1","1440","Best way to construct a pandas.DataFrame composed of different chunks","1","0","1","saroele","3208","Wes McKinney","57658"
"9851018","2012-03-24 10:35:14","1","209","What extra data is stored in Series and DataFrame objects?","1","0","","user1289813","6","",""
"9892044","2012-03-27 14:54:46","3","1046","Pandas Date converter","1","0","","Fernando Mourão","16","",""
"9941288","2012-03-30 10:30:59","1","427","pandas: Change one Series by using a second one with the same index","1","0","","Einar","1846","eumiro","133966"
"9944436","2012-03-30 13:58:29","15","9310","Converting OHLC stock data into a different timeframe with python and pandas","4","4","10","kgr","7309","Garrett","23272"
"10003171","2012-04-03 23:59:41","1","486","What is an efficient way in pandas to do summaryBy(...,full.dimension=T)","2","1","","LmW.","1116","Wes McKinney","57658"
"10009468","2012-04-04 10:38:56","9","4678","GroupBy functions in Python Pandas like SUM(col_1*col_2), weighted average etc","3","0","4","Arthur G","1077","Wes McKinney","57658"
"10017938","2012-04-04 19:27:14","2","1580","How to index with a list of values with only one label in a Pandas MultiIndex","1","0","1","John Cornwell","124","LmW.","1116"
"10020591","2012-04-04 23:17:23","26","27663","How to resample a dataframe with different functions applied to each column?","4","0","18","bmu","22706","bmu","22706"
"10027719","2012-04-05 11:28:00","0","638","Installing Pandas with Python 2.5 on Windows","1","0","","JamesS","195","Wes McKinney","57658"
"10114399","2012-04-11 21:40:38","19","8140","Pandas: simple 'join' not working?","2","3","","Phil","127","Wes McKinney","57658"
"10145224","2012-04-13 17:08:02","9","5733","Pandas: trouble understanding how merge works","1","1","5","Rafael S. Calsaverini","5733","Avaris","25496"
"10158060","2012-04-14 23:00:05","2","2932","How to create high low open close chart with pandas","1","0","1","SlyFly","11","",""
"10158613","2012-04-15 00:37:31","4","2318","Importing Confusion Pandas","3","1","","user1234440","5711","Wes McKinney","57658"
"10175068","2012-04-16 13:27:44","15","8097","Select data at a particular level from a MultiIndex","2","3","5","elyase","24978","elyase","24978"
"10194482","2012-04-17 15:45:10","11","16540","custom matplotlib plot : chess board like table with colored cells","1","3","12","Abhi","2290","Joe Kington","187408"
"10198295","2012-04-17 20:03:13","3","1227","Returning the last valid (non-null) value from a pandas DataFrame","1","0","","bzyueshen","16","",""
"10202570","2012-04-18 03:59:55","171","179330","Pandas DataFrame - Find row where values for column is maximal","7","2","42","lazy1","8426","ely","40334"
"10214692","2012-04-18 17:28:36","3","3247","pip install numpy pandas fails?","1","2","1","sebas","16","",""
"10215259","2012-04-18 18:04:04","5","2094","pandas aggregated data to a numpy array : data structure conversion","1","0","3","Abhi","2290","Wes McKinney","57658"
"10264739","2012-04-22 02:35:06","9","2659","major memory problems reading in a csv file using numpy","3","2","7","vgoklani","2605","vgoklani","2605"
"10449663","2012-05-04 13:20:52","1","6367","Pandas cannot be imported into IPython","2","2","","Michele Reilly","368","",""
"10475488","2012-05-07 00:38:47","7","2919","Calculating crossing (intercept) points of a Series or DataFrame","1","1","3","dailyglen","500","dailyglen","500"
"10484106","2012-05-07 14:46:14","7","17430","pandas reading csv orientation","2","0","3","Nicola Vianello","670","",""
"10484424","2012-05-07 15:04:58","0","201","Possible bug in Series.interpolate","2","0","","dailyglen","500","Avaris","25496"
"10518803","2012-05-09 15:05:08","2","1820","Cannot export to CSV after data alignment","2","3","","Michele Reilly","368","",""
"10545957","2012-05-11 05:36:56","12","14224","creating pandas data frame from multiple files","4","0","10","Abhi","2290","zach","9224"
"10565282","2012-05-12 16:05:17","16","20498","pandas, python - how to select specific times in timeseries","4","0","20","Dr. Dave","83","Marc Shivers","628"
"10575251","2012-05-13 21:05:23","0","129","Why is there this read_fwf() error?","1","0","","user1234440","5711","Garrett","23272"
"10591000","2012-05-14 21:01:58","33","41729","Specifying data type in Pandas csv reader","2","2","8","Gardner","166","",""
"10591796","2012-05-14 22:17:20","1","162","Python Pandas: Aggregate changed from 0.7.1 to 0.7.3","0","2","","Dylan Cutler","41","",""
"10594515","2012-05-15 05:17:50","0","1901","Why isn't read_fwf() output correct content of files?","1","0","","user1234440","5711","",""
"10601041","2012-05-15 12:49:25","11","4147","Pandas: where's the memory leak here?","1","1","5","iron.arty","96","",""
"10665889","2012-05-19 14:11:42","215","347291","How to take column-slices of dataframe in pandas","9","3","104","cpa","1368","Ted Petrou","25546"
"10671227","2012-05-20 06:14:57","0","487","Pandas FloatingPoint Error","1","5","","tshauck","8685","Karmel","3178"
"10697423","2012-05-22 07:14:56","2","3153","How do I display multiple charts in pandas python","2","1","","chrisfs","2354","Wes McKinney","57658"
"10706533","2012-05-22 16:54:49","0","1498","Error Installing Pandas using pip, Windows 7 64bit Python 3.2","1","0","","Reflux","1239","Wes McKinney","57658"
"10715519","2012-05-23 07:41:57","28","34611","Conditionally fill column values based on another columns value in pandas","3","0","15","Jan Willem Tulp","379","Wes McKinney","57658"
"10717504","2012-05-23 09:53:22","7","6954","Is it possible to use read_csv to read only specific lines?","4","0","3","user1412286","81","eumiro","133966"
"10723847","2012-05-23 16:08:37","0","100","Print out inner series","1","7","","fred","4165","",""
"10728757","2012-05-23 22:27:09","0","1642","numpy function to aggregate a signal for time?","3","4","","saroele","3208","",""
"10751127","2012-05-25 08:35:27","45","26803","Returning multiple values from pandas apply on a DataFrame","1","2","14","Einar","1846","",""
"10760364","2012-05-25 19:33:39","10","3599","""Zebra Tables"" in IPython Notebook?","3","0","5","JD Long","37144","minrk","27686"
"10767163","2012-05-26 14:41:22","1","1139","Python Pandas GroupBy equivalent of If A and not B where clause in SQL","1","0","3","pythOnometrist","1740","lbolla","4781"
"10771745","2012-05-27 04:53:45","0","1168","Removing duplicates from dataframe with index + row matching","1","2","1","dailyglen","500","dailyglen","500"
"10791661","2012-05-29 00:06:52","7","16085","How do I discretize values in a pandas DataFrame and convert to a binary matrix?","5","0","3","Uri Laserson","1100","lbolla","4781"
"10816994","2012-05-30 13:10:38","1","2362","Python Pandas: Data Downsampling","2","1","","user1412286","81","lbolla","4781"
"10824906","2012-05-30 22:03:44","2","615","How to create a dataframe from grouped data","1","0","1","user1427057","76","",""
"10841538","2012-05-31 21:28:05","4","4778","Pandas: List of Column names in a pivot table","1","0","1","Daniel Velazquez","25","",""
"10857924","2012-06-01 22:05:44","50","49203","Remove NULL columns in a dataframe Pandas?","2","1","11","shelly","353","Wes McKinney","57658"
"10867028","2012-06-03 00:38:37","52","53274","Get pandas.read_csv to read empty values as empty string instead of nan","2","0","7","BrenBarn","166891","Wes McKinney","57658"
"10908295","2012-06-06 04:46:19","5","3284","How to convert pandas dataframe so that index is the unique set of values and data is the count of each value?","1","0","2","dailyglen","500","Wes McKinney","57658"
"10943478","2012-06-08 05:24:57","14","12725","pandas reindex DataFrame with datetime objects","1","0","4","BFTM","1215","BrenBarn","166891"
"10951341","2012-06-08 15:01:32","56","25887","Pandas DataFrame aggregate function using multiple columns","6","0","33","user1444817","281","",""
"10972410","2012-06-10 21:12:43","23","57218","pandas: combine two columns in a DataFrame","5","0","6","BFTM","1215","BrenBarn","166891"
"11004088","2012-06-12 20:11:53","5","2346","indexing a pandas DataFrame","1","0","1","elyase","24978","diliop","7248"
"11005012","2012-06-12 21:17:34","1","598","Importing data table using Pandas - Exception: Index (columns 0) have duplicate values [nan]","1","2","1","user1452228","11","",""
"11012981","2012-06-13 10:29:47","5","7070","Create Excel-like SUMIFS in Pandas","2","0","1","Julio Guzman","41","",""
"11015974","2012-06-13 13:32:55","0","649","Vectorize High Frequency Data, Calculate Spread,","1","4","","Andrew","318","Pavel T from okmeter.io","192"
"11017862","2012-06-13 15:06:07","2","2558","Pyodbc default types for numbers","2","0","","Roger","153","Bryan","11265"
"11018120","2012-06-13 15:19:52","2","580","Bug in resampling with pandas 0.8?","1","0","","sweetdream","905","Wes McKinney","57658"
"11039985","2012-06-14 19:25:11","1","61","to_panel fills nonexistent values with (seemingly) huge random numbers","0","1","","K Raphael","521","",""
"11041411","2012-06-14 21:11:12","10","8781","How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?","2","1","3","dailyglen","500","diliop","7248"
"11067027","2012-06-16 21:05:01","221","169864","Re-ordering columns in pandas dataframe based on column name","11","1","55","pythOnometrist","1740","BrenBarn","166891"
"11073609","2012-06-17 18:07:39","42","38487","How to group DataFrame by a period of time?","2","0","9","serguei","233","BrenBarn","166891"
"11077023","2012-06-18 04:45:48","178","111688","What are the differences between Pandas and NumPy+SciPy in Python?","3","0","45","","","Wes McKinney","57658"
"11105728","2012-06-19 16:57:17","4","5570","Pivoting a DataFrame in Pandas for output to CSV","1","3","","user1467068","21","",""
"11106823","2012-06-19 18:11:14","35","42409","Adding two pandas dataframes","4","1","7","cs0679","178","Wes McKinney","57658"
"11131647","2012-06-21 04:48:00","2","279","Pandas - Aggregating grouped data provided certain criteria is met","1","0","1","enrishi","523","",""
"11136006","2012-06-21 10:15:21","4","6225","Python Pandas: What is the fastest way to create a datetime index?","1","2","3","user1412286","81","diliop","7248"
"11157450","2012-06-22 13:47:00","3","985","How do you force a figure redraw ipython notebook inline?","1","0","0","Bonnie Yu MSFT","195","",""
"11194610","2012-06-25 17:52:09","14","7964","How can I reorder multi-indexed dataframe columns at a specific level","2","0","1","Tim Whitcomb","8236","Wes McKinney","57658"
"11197690","2012-06-25 21:34:19","5","897","pandas MovingOLS doesn't support NA values?","1","0","","Preyas","35","Wes McKinney","57658"
"11199437","2012-06-26 00:52:19","2","1821","issue with pandas and semilog for boxplot","1","2","","Bonnie Yu MSFT","195","",""
"11230071","2012-06-27 15:41:10","3","875","Resampling pandas timeseries without computing a new offset","1","0","","Tim Whitcomb","8236","",""
